Department,District,Block
"Health Medical & Family Welfare Department,BHUPALPALLY (JAYASHANKER)",Jayashankar Bhupalapally,NA
"Health Medical & Family Welfare Department,GADWAL (JOGULAMBA)",GADWAL (JOGULAMBA),NA
"Health Medical & Family Welfare Department,HANAMAKONDA",HANAMAKONDA,NA
"Health Medical & Family Welfare Department,HYDERABAD",Hyderabad,NA
"Health Medical & Family Welfare Department,JAGITYAL",JAGITYAL,NA
"Health Medical & Family Welfare Department,JANAGOAN",JANAGOAN,NA
"Health Medical & Family Welfare Department,KAMAREDDY",Kamareddy,NA
"Health Medical & Family Welfare Department,KARIMNAGAR",Karimnagar,NA
"Health Medical & Family Welfare Department,KHAMMAM",Khammam,NA
"Health Medical & Family Welfare Department,KOTHAGUDEM (BADADRI)",Bhadradri Kothagudem,NA
"Health Medical & Family Welfare Department,MAHABUBABAD",Mahabubabad,NA
"Health Medical & Family Welfare Department,MAHABUBNAGAR",Mahabubnagar,NA
"Health Medical & Family Welfare Department,MEDAK",Medak,NA
"Health Medical & Family Welfare Department,MEDCHAL",Medchal,NA
"Health Medical & Family Welfare Department,MULUGU",Mulugu,NA
"Health Medical & Family Welfare Department,NAGARKURNOOL",Nagarkurnool,NA
"Health Medical & Family Welfare Department,NALGONDA",Nalgonda,NA
"Health Medical & Family Welfare Department,NARAYANPET",Narayanpet,NA
"Health Medical & Family Welfare Department,NIRMAL",Nirmal,NA
"Health Medical & Family Welfare Department,NIZAMABAD",Nizamabad,NA
"Health Medical & Family Welfare Department,PEDDAPALLY",PEDDAPALLY,NA
"Health Medical & Family Welfare Department,RANGA REDDY",Ranga Reddy,NA
"Health Medical & Family Welfare Department,SANGAREDDY",Sangareddy,NA
"Health Medical & Family Welfare Department,SIDDIPET",Siddipet,NA
"Health Medical & Family Welfare Department,SURYAPET",Suryapet,NA
"Health Medical & Family Welfare Department,VIKARABAD",Vikarabad,NA
"Health Medical & Family Welfare Department,WANAPARTHY",Wanaparthy,NA
"Health Medical & Family Welfare Department,WARANGAL",Warangal,NA
"Health Medical & Family Welfare Department,YADADRI",YADADRI,NA
"Health Medical & Family Welfare, MANCHERIAL",Mancherial,NA
"Health Medical & Family Welfare, SIRICILLA",Rajanna Sircilla,NA
"Health Medical &Family Welfare, Nizamabad",Nizamabad,NA
"Health, Medical & Family Welfare Department, (Drug Inspector), Jangaon",Jangaon,NA
"Health, Medical & Family Welfare Department, Jangaon",Jangaon,NA
"Health, Medical And Family Welfare Department, Begum Bazar Hyderabad",Hyderabad,NA
"Health, Medical And Family Welfare Department, Hyderabad",Hyderabad,NA
"Health, Medical and Family Welfare",Medical and Family Welfare,NA
"Health,Medical &Family Welfare department(Area Hospital) Bellampally",Medical &Family Welfare department(Area Hospital) Bellampally,NA
"Health,Medical &Family Welfare Department(Drugs Control)Bhupalpally",Jayashankar Bhupalapally,NA
"Health,medical &family welfare Department(RAJIV AROGYA SRI HEALTH CARE",medical &family welfare Department(RAJIV AROGYA SRI HEALTH CARE,NA
"Health,Medical &Family Welfare department, Chennur",Chennur,NA
"Health,Medical &Family Welfare, Khaleelwadi, Nizamabad",Nizamabad,NA
"Health,Medical And Family Welfare Department (Hospital), Peddapally",Peddapally,NA
"Health,Medical and Family Welfare Department, Narayanpet",Narayanpet,NA
"Health,Medical and Family Welfare Department,Hyderabad",Hyderabad,NA
"Health,Medical and Family welfare Department,kothagudem",Bhadradri Kothagudem,NA
"Health,Medical and Family welfare Department,Shamirpet",Shamirpet,NA
"Health,Medical&Family Department(PHC) BIBINAGAR,Yadadri",Yadadri,NA
"Health,Medical&Family Department, Addagudur",Addagudur,NA
"Health,Medical&Family Department, Bollepally",Bollepally,NA
"Health,Medical&Family Department, KONDAMADUGU",KONDAMADUGU,NA
"Health,Medical&Family Department, Velvarthy",Velvarthy,NA
"Health,Medical&Family Department,bommalaramram",bommalaramram,NA
"Health,Medical&Family Department,Motakondur",Motakondur,NA
"Health,Medical&Family Department,Munipampula",Munipampula,NA
"Health,Medical&Family Department,Pochampally",Pochampally,NA
"Health,Medical&Family Department,Rajapet",Rajapet,NA
"Health,Medical&Family Department,Ramannapet",Ramannapet,NA
"Health,Medical&Family Department,S.Narayanapur",S.Narayanapur,NA
"Health,Medical&Family Department,Sharajipet",Sharajipet,NA
"Health,Medical&Family Department,Thangadapally",Thangadapally,NA
"Health,Medical&Family Department,thurkapally",thurkapally,NA
"Health,Medical&Family Department,VARKATPALLY",VARKATPALLY,NA
"Health,Medical&Family Department,Vemulakonda",Vemulakonda,NA
"Health,Medical&Family Department,Yadadri",Yadadri,NA
"Health,Medical&Family Department,Yadagirigutta",Yadagirigutta,NA
"Health,Medical&Family Welfare Department(Drugs),Medak",Medak,NA
"Health,Medical&Family welfare Department,Mulugu",Mulugu,NA
"Health,Medical&family welfare dept(TG INDUSTRIALHEALTHCLINIC LIMITED)",Medical&family welfare dept(TG INDUSTRIALHEALTHCLINIC LIMITED),NA
"Health,medical&Family Welfare, Mahabuababd",Mahabuababd,NA
"Health,medical&Family Welfare, Mahabubabad",Mahabubabad,NA
"Higher Education (Intermediate Education), Rajanna Sircilla",Rajanna Sircilla,NA
"Higher Education Department , Hyderabad",Hyderabad,NA
Higher Education Department( Intermediate Education)Jangaon,Jangaon,NA
"Higher Education Department(Polytechnic for Womens (SC)), Karimnagar",Karimnagar,NA
"Higher Education( Intermediate Education)Department,Medak",Medak,NA
"HIGHER EDUCATION(Collegiate Education)Department,Eturnagaram",Eturnagaram,NA
"HIGHER EDUCATION(Collegiate Education)Department,Mulugu",Mulugu,NA
Higher Education(Govt Medical college)Nagarkurnool,Nagarkurnool,NA
Higher Education(Intermediate Education )Kamareddy,Kamareddy,NA
"Higher Education(Intermediate Education)Department,Mulugu",Mulugu,NA
Higher Education(SATAVAHANA UNIVERSITY)KARIMNAGAR,Karimnagar,NA
Higher Education(Technical Education )Kosgi,Kosgi,NA
"Higher Education(TS Council of Higher Education)Department,Hyd",Hyd,NA
"Higher(GOVERNMENT DEGREE COLLEGE)Department, SIRCILLA",SIRCILLA,NA
"Home (Fire Service)Department,Kamareddy",Kamareddy,NA
Home Depaertment(Intelligence)Hyd,Hyd,NA
"Home Department (ACP Stn.), Ghanpur,Jangaon",Jangaon,NA
"Home Department (CI) Palakurthy,Jangaon",Jangaon,NA
"Home Department , Hyderabad",Hyderabad,NA
"Home Department Lingala Ghanpur,Jangaon",Jangaon,NA
"Home Department Raghunathpally,Jangaon",Jangaon,NA
"Home Department( Police) Medchal Zone, Cyberabad",Medchal,NA
Home Department( Prosecutions)Hyderabad,Hyderabad,NA
"Home Department((TGSP, Battalions), Hyderabad",Hyderabad,NA
"Home Department(10th Battalion), Jogulamba Gadwal",Jogulamba Gadwal,NA
"Home Department(12th Battalion),Nalgonda",Nalgonda,NA
"Home Department(13th Battalion, TGSP), Mancherial",Mancherial,NA
"Home Department(15th Battalion),Khammam",Khammam,NA
"Home Department(17th Battalion TGSP), Rajanna Siricilla",Rajanna Sircilla,NA
"Home Department(2nd Battalion),Adilabad",Adilabad,NA
"Home Department(3rd Battalion), Ibrahmpatnam",Ibrahmpatnam,NA
"Home Department(4th Battalion), Warangal",Warangal,NA
"Home Department(6th TGSP (IR) Battalion), Bhadradri Kothagudem",Bhadradri Kothagudem,NA
"Home Department(7th Battalion TGSP), Dichpally",Dichpally,NA
"Home Department(8th Battalion TGSP), Kondapur",Kondapur,NA
"Home Department(ACP), Jangaon",Jangaon,NA
"Home Department(ADGP, Women Safety Wing),Hyderabad",Hyderabad,NA
"Home Department(ADGP. Technical Services),Hyderabad",Hyderabad,NA
"Home Department(CI) Narmetta,Jangaon",Jangaon,NA
"Home Department(CI), Jangaon",Jangaon,NA
"Home Department(Commandant, 1st Battalion), Hyderabad",Hyderabad,NA
"Home Department(Commandant, 5th Battalion TGSP (IR)), Mulugu",Mulugu,NA
"Home Department(Cyber Security Bureau),Hyderabad",Hyderabad,NA
"Home Department(DIG of Police,IT&C),Hyderabad",Hyderabad,NA
"Home Department(District Fire Office),Yadadri Bhuavangiri",Yadadri Bhuavangiri,NA
"Home Department(Fire ),Mulugu",Mulugu,NA
Home Department(Fire Outpost) Ramannapet,Ramannapet,NA
Home Department(Fire Station )Bhongir,Bhongir,NA
Home Department(Fire Station )Yadagirigutta,Yadagirigutta,NA
Home Department(Fire Station) Alair,Alair,NA
Home Department(Fire Station) Mothkur,Mothkur,NA
Home Department(Fire Station)Choutuppal,Choutuppal,NA
"Home Department(Greyhounds),Hyderabad",Hyderabad,NA
"Home Department(Inspector General of Police, Railways),Hyderabad",Hyderabad,NA
"Home Department(OCTOPUS),Hyderabad",Hyderabad,NA
"Home Department(Police Training College), Amberpet,Hyderabad",Hyderabad,NA
"Home Department(Police Training College), Karimnagar",Karimnagar,NA
"Home Department(Police Training College), Warangal",Warangal,NA
"Home Department(Police Transport Organization),Hyderabad",Hyderabad,NA
"Home Department(Police), Jangaon",Jangaon,NA
"Home Department(SHO) Devaruppula, Jangaon",Jangaon,NA
"Home Department(SHO), Bachannapet,Jangaon",Jangaon,NA
"Home Department(SHO), Jangaon",Jangaon,NA
"Home Department(SHO), Kodakandla,Jangaon",Jangaon,NA
"Home Department(SHO), Narmetta,Jangaon",Jangaon,NA
"Home Department(SHO), Palakurthy,Jangaon",Jangaon,NA
"Home Department(SHO), Tharigoppula,Jangaon",Jangaon,NA
"Home Department(SHO), Zaffergadh,Jangaon",Jangaon,NA
"Home Department(Special Armed Reserve Central Police Lines),Hyderabad",Hyderabad,NA
"Home Department(Telangana Integrated Command and Control Centre),Hyd",Hyd,NA
"Home Department(Telangana Police Recruitment Board),Hyderabad",Hyderabad,NA
"Home Department(Telangana State Forensic Science Laboratory),Hyderabad",Hyderabad,NA
"Home Department, Jangaon",Jangaon,NA
"Home Department,Adilabad",Adilabad,NA
"Home Department,Chilpur, jangaon",Jangaon,NA
"Home Department,Hyderabad",Hyderabad,NA
"Home Department,Karimnagar",Karimnagar,NA
"Home Department,Khammam",Khammam,NA
"Home Department,Mahabubnagar",Mahabubnagar,NA
"Home Department,Medak",Medak,NA
"Home Department,Nalgonda",Nalgonda,NA
"Home Department,Nizamabad",Nizamabad,NA
"Home Department,Rangareddy",Ranga Reddy,NA
"Home Department,Saifabad,Hyderabad",Hyderabad,NA
"Home Department,Somajiguda,Hyd",Hyd,NA
"Home Department,Warangal",Warangal,NA
"Home( Fire)Department, Narayanpet",Narayanpet,NA
"Home( Fire)Department,,Makthal",Makthal,NA
"Home( Fire, Disaster Response, Emergency and Civil Defence) Department",Emergency and Civil Defence) Department,NA
"Home(Police)Department, Kamareddy",Kamareddy,NA
"Home(Police)Department, Narayanapet",Narayanapet,NA
Horticulture,,NA
Hyderabad Agriculture Cooperative Association,Hyderabad,NA
"I & PR Department,Nagarkurnool",Nagarkurnool,NA
"Industries & Commerce Department(Commerce and Export Promotion),Hyd",Hyd,NA
"Industries & Commerce Department, Bodhan",Bodhan,NA
"Industries & Commerce Department, Khammam",Khammam,NA
"Industries & Commerce Department,Abids,Hyd",Hyd,NA
"Industries & Commerce Department,Mahabubabad",Mahabubabad,NA
"Industries & Commerce Department,Nizamabad",Nizamabad,NA
"Industries & Commerce Department,Sangareddy",Sangareddy,NA
"Industries & Commerce Dept(TG State Avation Corp Ltd),Begumpet",Begumpet,NA
"Industries &Commerce Department,Nagarkurnool",Nagarkurnool,NA
"Industries &commerceDepartment,kothagudem",Bhadradri Kothagudem,NA
"Industries and Commerce Department ,Hyderabad",Hyderabad,NA
"Industries&Commerce Department,Khammam",Khammam,NA
"Industries&Commerce (Industries Centre)Department, Peddapalli",Peddapalli,NA
"Industries&Commerce Department,Mahabubnagar",Mahabubnagar,NA
"Industries&Commerce Department,MANCHERIAL",Mancherial,NA
"Industries&Commerce Department,Mulugu",Mulugu,NA
"Industries&Commerce Department,Nalgonda",Nalgonda,NA
"Industries&Commerce Depertment,Narayanpet",Narayanpet,NA
"Industries&Commerce(Handloom & Textiles)Department, Jangaon",Jangaon,NA
"Industries&Commerce(Handlooms and Textiles) Department, Narayanpet",Narayanpet,NA
"Industries&CommerceDepartment, Jangaon",Jangaon,NA
"Information & Public Relations(I&PR),Jangaon",Jangaon,NA
"Information & Public Relations,Bhupalpally",Jayashankar Bhupalapally,NA
Information and Public Relations,,NA
"Information PUBLIC RELATIONS DEPARTMENT, RAJANNA SIRICILLA",Rajanna Sircilla,NA
Information Technology,,NA
"Information&Public Relation Department,Mulugu",Mulugu,NA
"Information&Public Relations , Mancherial",Mancherial,NA
InformationTechnology Electronics and communications (TGTS),,NA
Infrastructure Investments,,NA
Instiution of Lokayukta of Telangana,,NA
"Irriation & CAD (IW&PW)Department,Bhoothpur",Bhoothpur,NA
"Irriation & CAD (IW&PW)Department,Mahabubnagar",Mahabubnagar,NA
"Irriation & CAD Department(Circle No.2),Mahabubnagar",Mahabubnagar,NA
"Irriation & CAD(IW&PW) Department,Devarkadra",Devarkadra,NA
"Irriation & CAD(IW&PW) Department,Mahabubnagar",Mahabubnagar,NA
Irrigation & CAD (IW&PW)Department,Department,NA
"Irrigation & CAD (IW&PW)Department,EE 6 Division Aswapuram",EE 6 Division Aswapuram,NA
"Irrigation & CAD (IW&PW)Department,EE Division 1 Kothagudem",Bhadradri Kothagudem,NA
"Irrigation & CAD (IW&PW)Department,EE Division 2 Aswaraopeta",EE Division 2 Aswaraopeta,NA
"Irrigation & CAD (IW&PW)Department,EE Division 3 Yellandu",EE Division 3 Yellandu,NA
"Irrigation & CAD Department(Division No. 02),Sangareddy",Sangareddy,NA
Irrigation & CAD Department(Division No.6) GV Gudem,GV Gudem,NA
Irrigation & CAD Department(Division No.6) GV Gudem Nalgonda,Nalgonda,NA
Irrigation & CAD Department(EE/Divn.4)Husnabad,Husnabad,NA
Irrigation & CAD Department(QC&I DIVISION NO.7)Karimnagar,Karimnagar,NA
"Irrigation & CAD Department,Armoor",Armoor,NA
"Irrigation & CAD Department,Armoor constiuency",Armoor constiuency,NA
"Irrigation & CAD Department,Balkonda",Balkonda,NA
"Irrigation & CAD Department,Bodhan",Bodhan,NA
"Irrigation & CAD Department,Chintal basti,Hyd",Hyd,NA
"Irrigation & CAD Department,Division No.7, Ramagundam",Ramagundam,NA
"Irrigation & CAD Department,Hyderabad",Hyderabad,NA
"Irrigation & CAD Department,Karimnagar",Karimnagar,NA
"Irrigation & CAD Department,Mahabubnagar",Mahabubnagar,NA
"Irrigation & CAD Department,Mint Compound, Khairatabad",Khairatabad,NA
"Irrigation & CAD Department,Nalgonda",Nalgonda,NA
"Irrigation & CAD Department,Nizamabad",Nizamabad,NA
"Irrigation & CAD Department,Nizambad",Nizambad,NA
"Irrigation & CAD Department,Nizambad Urban",Nizambad Urban,NA
"Irrigation & CAD Department,Ramagundam,Peddapalli",Peddapalli,NA
"Irrigation & CAD Department,Siddipet",Siddipet,NA
"Irrigation & CAD Department,SRSP Camp, Choppadandi",Choppadandi,NA
"Irrigation & CAD Department,WALAMTARI, Hyderabad",Hyderabad,NA
"Irrigation & CAD Department,Yellammagutta",Yellammagutta,NA
Irrigation & CAD Department9Irrigation)Wanaparthy,Wanaparthy,NA
"Irrigation & CAD( Chaingate)Department,Nirmal",Nirmal,NA
"Irrigation & CAD(IW&PW) Department, Division No.10, Nekkonda(M)",Nekkonda(M),NA
"Irrigation & CAD(IW&PW) Department, Division No.8, Mahabubabad",Mahabubabad,NA
"Irrigation & CAD(IW&PW) Department, Division No.9, Maripeda(M)",Maripeda(M),NA
"Irrigation & CAD(IW&PW) Department, Mahabubabad Circle",Mahabubabad,NA
"Irrigation & CAD(IW&PW) Department, Division 2 Aswaraopeta",Division 2 Aswaraopeta,NA
"Irrigation & CAD(IW&PW) Department, Division 3 Yellandu",Division 3 Yellandu,NA
"Irrigation & CAD(IW&PW) Department, Huzurabad",Huzurabad,NA
"Irrigation & CAD(IW&PW) Department, Irrigation Circle Bhadrachalam",Irrigation Circle Bhadrachalam,NA
"Irrigation & CAD(IW&PW) Department, Marriguda",Marriguda,NA
"Irrigation & CAD(IW&PW) Department, Medak",Medak,NA
"Irrigation & CAD(IW&PW) Department,Division 5 Bhadrachalam",Division 5 Bhadrachalam,NA
"Irrigation & CAD(IW&PW) Department,EE Division 4 Pinapaka",EE Division 4 Pinapaka,NA
"Irrigation & CAD(IW&PW) Department,EE Division 5 Bhadrachalam",EE Division 5 Bhadrachalam,NA
"Irrigation & CAD(IW&PW) Department,Hyderabad",Hyderabad,NA
"Irrigation & CAD(IW&PW) Department,Kothagudem",Bhadradri Kothagudem,NA
"Irrigation & CAD(IW&PW) Department,r Division 4 Pinapaka",r Division 4 Pinapaka,NA
"Irrigation & CAD(IW&PW) Department,SE Irrigation Circle Kothagudem",Bhadradri Kothagudem,NA
"Irrigation & CAD(IW&PW) Dept,K.C.Colony, Chinthagattu Camp Hanumakonda",Hanamkonda,NA
"Irrigation &CAD Department,Sangareddy",Sangareddy,NA
"Irrigation &CAD ,Department,peddapally(Manthani)",peddapally(Manthani),NA
"Irrigation &CAD Department ,eddakalvalaCamp,peddapally",peddapally,NA
"Irrigation &CAD Department(Telangana Development Corporation Lmt),Hyd",Hyd,NA
"Irrigation &CAD Department,(Division No.1)Adilabad",Adilabad,NA
"Irrigation &CAD Department,Annapurna colony",Annapurna colony,NA
"Irrigation &CAD Department,Bhupalpally",Jayashankar Bhupalapally,NA
"Irrigation &CAD Department,Bhupalpally-02",Jayashankar Bhupalapally,NA
"Irrigation &CAD Department,Ramagundam",Ramagundam,NA
"Irrigation &CAD Department,Sulthanabad",Sulthanabad,NA
"Irrigation &CAD,Department,peddapally",peddapally,NA
IRRIGATION AND CAD DEPARTMENT Gadwal,,NA
"IRRIGATION AND CAD DEPARTMENT Division No.4, Gadwal",Gadwal,NA
"IRRIGATION AND CAD DEPARTMENT, Division No.1, Gadwal",Gadwal,NA
"IRRIGATION AND CAD DEPARTMENT, Division No.2, Gadwal",Gadwal,NA
"IRRIGATION AND CAD DEPARTMENT, Division No.3, Gadwal",Gadwal,NA
"Irrigation and CAD Department, Mahabubnagar",Mahabubnagar,NA
"Irrigation&CAD (Mission Bhagirata)Department,chevella",chevella,NA
"Irrigation&CAD Department,Division No.1, Mancherial",Mancherial,NA
"Irrigation&CAD(IW&PW)Dept,Irrigation Circle(Laxmidevipally),Kothagudem",Bhadradri Kothagudem,NA
"Irrrigation & CAD Department,Gajwel",Gajwel,NA
Korutla Municipality,,NA
"Labour ,Employment Training&Factories(Corporation) Department,Jagtial",Jagtial,NA
"Labour Employement Training&Factories Department,Jagtial",Jagtial,NA
"Labour Employmen,Training &Factories Department, Banswada",Banswada,NA
"Labour Employmen,Training &Factories Department,Kamareddy",Kamareddy,NA
"Labour Employment ,Training &Factories Department, Kukatpally",Kukatpally,NA
"Labour Employment ,Training &Factories Department, Miryalaguda",Miryalaguda,NA
"Labour Employment ,Training &Factories Department, Moula-Ali",Moula-Ali,NA
"Labour Employment ,Training &Factories Department, Nachram",Nachram,NA
"Labour Employment ,Training &Factories Department, Nalgonda",Nalgonda,NA
"Labour Employment ,Training &Factories Department, Quthbullapur",Quthbullapur,NA
"Labour Employment ,Training &Factories Department, Suryapet",Suryapet,NA
"Labour Employment ,Training &Factories Department, Tandur",Tandur,NA
"Labour Employment ,Training &Factories Department, Vikarabad",Vikarabad,NA
"Labour Employment ,Training &Factories Department, Devarakonda",Devarakonda,NA
"Labour Employment ,Training &Factories Department, Malkajgiri",Malkajgiri,NA
"Labour Employment ,Training &Factories Department, Rangareddy",Ranga Reddy,NA
"Labour Employment ,Training &Factories Department,, Ibrahimpatnam",Ibrahimpatnam,NA
"Labour Employment ,Training &Factories Department,,Balanagar",Balanagar,NA
"Labour Employment ,Training &Factories Department,,Shadnagar",Shadnagar,NA
"Labour Employment ,Training &Factories Department,,Shamshabad",Shamshabad,NA
"Labour Employment Training &Factories Circle,Karimnagar, (FAC)",Karimnagar,NA
"Labour Employment Training &Factories Department of Boilers),Hyderabad",Hyderabad,NA
"Labour Employment Training &Factories Department, Kamareddy",Kamareddy,NA
"Labour employment Training &Factories Department, kothagudem",Bhadradri Kothagudem,NA
"Labour employment Training &Factories Department, Kothagudem",Bhadradri Kothagudem,NA
"Labour employment training &factories department, Mancherial",Mancherial,NA
"Labour Employment Training &Factories Department, Narayanapet",Narayanapet,NA
"Labour employment Training &Factories Department,Badrachalam",Badrachalam,NA
"Labour employment Training &Factories Department,Kothagudem",Bhadradri Kothagudem,NA
"Labour employment Training &Factories Department,Manuguru",Manuguru,NA
"Labour employment Training &Factories Department,yellandu",yellandu,NA
"Labour Employment Training &Factories, (FAC),Circle, Nalgonda",Nalgonda,NA
"Labour Employment Training& Factories Department, Ranga Reddy",Ranga Reddy,NA
"Labour Employment Training&Factories Department ,Cir No 03 Hyderabad",Hyderabad,NA
Labour Employment Training&Factories Department Banswada,Kamareddy,Banswada
Labour Employment Training&Factories Department- Bheemgal,Nizamabad,Bheemgal
Labour Employment Training&Factories Department- Bodhan,Nizamabad,Bodhan
Labour Employment Training&Factories Department Mahabubnagar,Mahabubnagar,NA
Labour Employment Training&Factories Department Sangareddy,Sangareddy,NA
Labour Employment Training&Factories Department Wanaparthy District,Wanaparthy,NA
Labour Employment Training&Factories Department( Circle-III)Nizamabad,Nizamabad,NA
Labour Employment Training&Factories Department(Circle - I) Nizamabad,Nizamabad,NA
Labour Employment Training&Factories Department(Circle-II) Nizamabad,Nizamabad,NA
"Labour Employment Training&Factories Department, Armoor",Armoor,NA
"Labour Employment Training&Factories Department, Cir No 01, Hyderabad",Hyderabad,NA
"Labour Employment Training&Factories Department, Cir No 02 Hyderabad",Hyderabad,NA
"Labour Employment Training&Factories Department, Cir No 04 Hyderabad",Hyderabad,NA
"Labour Employment Training&Factories Department, Cir No 08 Hyderabad",Hyderabad,NA
"Labour Employment Training&Factories Department, Cir.No.07, Hyderabad",Hyderabad,NA
"Labour Employment Training&Factories Department, Gajwel",Gajwel,NA
"Labour Employment Training&Factories Department, Mahabubnagar",Mahabubnagar,NA
"Labour Employment Training&Factories Department, MAHABUBNAGAR",Mahabubnagar,NA
"Labour Employment Training&factories Department, Mahabubnagar",Mahabubnagar,NA
"Labour Employment Training&Factories Department, Narayankhed",Narayankhed,NA
"Labour Employment Training&Factories Department, Narsapur",Narsapur,NA
"Labour Employment Training&Factories Department, Nizamabad",Nizamabad,NA
"Labour Employment Training&Factories Department, Patancheru",Patancheru,NA
"Labour Employment Training&Factories Department, Rajanna Sircilla",Rajanna Sircilla,NA
"Labour Employment Training&Factories Department, Ramayampet",Ramayampet,NA
"Labour Employment Training&Factories Department, Siddipet",Siddipet,NA
"Labour Employment Training&Factories Department, Zaheerabad",Zaheerabad,NA
"Labour Employment Training&Factories Department,Cir No 05 Hyderabad",Hyderabad,NA
"Labour Employment Training&Factories Department,Cir No 06 Hyderabad",Hyderabad,NA
"Labour Employment Training&Factories Department,Cir.No.09, Hyderabad",Hyderabad,NA
"Labour Employment Training&Factories Department,Cir.No.10",Cir.No.10,NA
"Labour Employment Training&Factories Department,Cir.No.11, Hyderabad",Hyderabad,NA
"Labour Employment Training&Factories Department,Cir.No.14, Hyderabad",Hyderabad,NA
"Labour Employment Training&Factories Department,Cir.No.15, Hyderabad",Hyderabad,NA
"Labour Employment Training&Factories Department,Cir.No.16, Hyderabad",Hyderabad,NA
"Labour Employment Training&Factories Department,Cir.No.17, Hyderabad",Hyderabad,NA
"Labour Employment Training&Factories Department,Cir.No.18, Hyderabad",Hyderabad,NA
"Labour Employment Training&Factories Department,Cir.No.20",,NA
"Labour Employment Training&Factories Department,Cir.No.21, Hyderabad",Hyderabad,NA
"Labour Employment Training&Factories Department,Cir.No.22, Hyderabad",Hyderabad,NA
"Labour Employment Training&Factories Department,Cir.No.23, Hyderabad",Hyderabad,NA
"Labour Employment Training&Factories Department,Cir.No.26, Hyderabad",Hyderabad,NA
"Labour Employment Training&Factories Department,Cir.No.28, Hyderabad",Hyderabad,NA
"Labour Employment Training&Factories Department,Cir.No.29, Hyderabad",Hyderabad,NA
"Labour Employment Training&Factories Department,Cir.No.32, Hyderabad",Hyderabad,NA
"Labour Employment Training&Factories Department,Cir.No.34, Hyderabad",Hyderabad,NA
"Labour Employment Training&Factories Department,Cir.No.35, Hyderabad",Hyderabad,NA
"Labour Employment Training&Factories Department,Cir.No.36, Hyderabad",Hyderabad,NA
"Labour Employment Training&Factories Department,Cir.No.37, Hyderabad",Hyderabad,NA
"Labour Employment Training&Factories Department,Cir.No19, Hyderabad",Hyderabad,NA
"Labour Employment Training&Factories Department,Himayatnagar",Himayatnagar,NA
"Labour Employment Training&Factories Department,Hyd(twin cities)",Hyd(twin cities),NA
"Labour Employment Training&Factories Department,Labour - IV, Hyderabad",Hyderabad,NA
"Labour Employment Training&Factories Department,Labour-I, Hyderabad",Hyderabad,NA
"Labour Employment Training&Factories Department,Labour-II, Hyderabad",Hyderabad,NA
"Labour Employment Training&Factories Department,Medchal",Medchal,NA
"Labour Employment Training&Factories Department,Nagarkurnool District",Nagarkurnool,NA
"Labour Employment Training&Factories Department,Patancheru & Siddipet",Siddipet,NA
"Labour Employment Training&Factories Department,Sangareddy",Sangareddy,NA
"Labour Employment Training&Factories DepartmentCir.No.12, Hyderabad",Hyderabad,NA
Labour Employment Training&Factories DepartmentCir.No.13,Hyderabad,NA
"Labour Employment Training&Factories Dept of Boilers Circle-I,HYD(FAC)",HYD(FAC),NA
"Labour Employment Training&Factories Dept of Boilers CircleII,HYD(FAC)",HYD(FAC),NA
"Labour Employment Training&Factories Dept,CircleIV,Hyderabad(FAC)",Hyderabad,NA
"Labour Employment,Training&Factories Department,Jangaon",Jangaon,NA
"Labour,Employement Training&Factories Department,Mulugu",Mulugu,NA
"Labour,Employement Training&Factories(Corporation) Department,Mulugu",Mulugu,NA
"Labour,Employment Training &Factories Department,Nagarkurnool",Nagarkurnool,NA
"Labour,Employment,Training Factories Department, Jangaon",Jangaon,NA
"Labour,Employment,Training&Factories Department,JS Bhupalpally",Jayashankar Bhupalapally,NA
"Law Department , Hyderabad",Hyderabad,NA
Mandal Praja Parishad Abdullapurmet,Ranga Reddy,Abdullapurmet
Mandal Praja Parishad AMANGAL,Ranga Reddy,AMANGAL
Mandal Praja Parishad Chevella,Ranga Reddy,Chevella
Mandal Praja Parishad Chowdariguda,Ranga Reddy,Chowdariguda
Mandal Praja Parishad Farooqnagar,Ranga Reddy,Farooqnagar
Mandal Praja Parishad Ibrahimpatnam,Ranga Reddy,Ibrahimpatnam
Mandal Praja Parishad KADTHAL,Ranga Reddy,KADTHAL
Mandal Praja Parishad Kandukur,Ranga Reddy,Kandukur
Mandal Praja Parishad KESHAMPET,Ranga Reddy,KESHAMPET
Mandal Praja Parishad Kondurg,Ranga Reddy,Kondurg
Mandal Praja Parishad Kothur,Ranga Reddy,Kothur
Mandal Praja Parishad MADGUL,Ranga Reddy,MADGUL
Mandal Praja Parishad Maheshwaram,Ranga Reddy,Maheshwaram
Mandal Praja Parishad Manchal,Ranga Reddy,Manchal
Mandal Praja Parishad Moinabad,Ranga Reddy,Moinabad
Mandal Praja Parishad Nandigama,Ranga Reddy,Nandigama
Mandal Praja Parishad Shabad,Ranga Reddy,Shabad
Mandal Praja Parishad SHAMSHABAD,Ranga Reddy,SHAMSHABAD
Mandal Praja Parishad SHANKERPALLY,Ranga Reddy,SHANKERPALLY
Mandal Praja Parishad Talakondapally,Ranga Reddy,Talakondapally
Mandal Praja Parishad Yacharam,Ranga Reddy,Yacharam
Mandal Praja Parishad Akberpet-Bhoompally,Akberpet-Bhoompally,Akberpet-Bhoompally
Mandal Praja Parishad Akkannapet,Siddipet,Akkannapet
Mandal Praja Parishad Bejjanki,Siddipet,Bejjanki
